"","original","text"
"113","You Are #TheGreatestShowman @MattGoss <U+2B50><f0><U+009F><U+0092><U+009B><U+2B50> https://t.co/aUXwQBBPBV","are white medium starwhite medium star"
"114","I bet the makers of #lalaland wished they'd used the songwriters from #TheGreatestShowman","bet makers wished used songwriters"
"115","#TheGreatestShowman on blue ray! Perfect!","blue ray perfect"
"116","@RealJamesWoods @quietplacemovie If you like musicals, or even if you don't, #TheGreatestShowman will blow you away. #Awesome.","musicals do not blow"
"117","There's only so many times you can listen to The Greatest Showman Soundtrack before it gets annoying... said no-one ever!!!!

#NeverEnough #thegreatestshowman #showtunes #SupportSmallStreamers #streamer #F4F #mixer #mixerstreamer #MixerStreamers #gaming #gamer #ThisIsMe","is only so many times listen greatest showman soundtrack gets annoying said one ever"
"118","Shitty day at work need some positive vibes. So gonna watch The Greatest Showman again

#thegreatestshowman #movie","shitty day work need positive vibes so going watch greatest showman again"
"119","Hardly 30 minutes into the film and already loving it very much.. AND THE MUSIC <f0><U+009F><U+0091><U+008C><f0><U+009F><U+008F><U+00BB> #TheGreatestShowMan","hardly minutes film already loving music okay hand sign"
"120","Down to 1 showing a day, but #TheGreatestShowman is still in cinemas 5 months after it originally came out. This thing has some VERY unexpected legs, I'm impressed! https://t.co/fT5Wo3Lq8U","showing day is still cinemas months originally came thing has very unexpected legs am impressed"
"121","The song #FromNowOn from #TheGreatestShowman is the anthem of the #ProdigalSon! Watch the movie through the lens of faith and it blows you away even more. #ThisIsMe is the anthem of every martyr!","song is anthem watch movie lens faith blows away even more is anthem martyr"
"122","So excited to have got this through the post today!! Can’t wait to watch it again #TheGreatestShowman #ThisIsMe @kealasettle @ZacEfron @Zendaya https://t.co/B3mhxSltot","so excited have got post today wait watch"
"123","Watched #TheGreatestShowman I'm not a musical guy at all but this movie was entertaining","watched am not musical guy movie was entertaining"
"124","#Moana won Best Soundtrack at the #BBMAs this past Sunday. Over #BlackPanther &amp; #KendrickLamar, #TheGreatestShowman &amp; #ThisIsMe, #GuardiansOfTheGalaxyVol2 &amp; #TheFateOfTheFurious. Will Mike No1 finally shut up about old #Disney classics like #Cinderella? No
https://t.co/374SVEBCDC","won best soundtrack past sunday mike finally shut old classics no"
"125","Finally getting to watch @RealHughJackman and the cast of #TheGreatestShowman 
WOW, well done all. https://t.co/3SGBtzycZ0","finally getting watch cast wow well done"
"126","@carolinedeyga rather see come to broadway #TheGreatestShowman","rather see come"
"127","finally got this in the post! yay, can’t wait to binge watch this again. #TheGreatestShowman #GreatestShowman https://t.co/oFyoftbdrE","finally got post yay cant wait binge watch"
"129","Doubt I'll ever get over how amazing @GreatestShowman is <f0><U+009F><U+0098><U+008D> @RealHughJackman actually is the greatest and then @Zendaya absolutely killing it, dayum! Also, best soundtrack ever <U+2764><U+FE0F> #TheGreatestShowman","doubt ever get how amazing isactually is greatest then absolutely killing damn also best soundtrack ever heavy black heart"
"130","#TakeAListen to Emylie Clements BEAUTIFUL cover of #NeverEnough by @lorenallred from #TheGreatestShowman!
Listen to the FULL version: https://t.co/4RspAe9zJd
Checkout MORE great music on my YouTube channel: https://t.co/JWVUNZrBlj

#AbridgedCover #TakeAListenToThis #coversong https://t.co/j2SIW03RXk","emylie clements beautiful cover listen full version"
"131","My 3yr old is obsessed! <f0><U+009F><U+0098><U+0082>

#thegreatestshowman #strollerkaraoke #shelovestosing #preschoolfun 

@GreatestShowman @kealasettle @shannonholtz @RealHughJackman https://t.co/Y59didln9X","year old is obsessed"
