"","Description","Native","BigBytes","R_Encoding","Bytes","Spaced.Bytes"
"455","MENS SYMBOL ","🚹","F0 9F 9A B9","<ed><a0><bd><ed><ba><b9>","f0 9f 9a b9","f0 9f 9a b9"
"456","METRO ","🚇","F0 9F 9A 87","<ed><a0><bd><ed><ba><87>","f0 9f 9a 87","f0 9f 9a 87"
"457","MICROPHONE ","🎤","F0 9F 8E A4","<ed><a0><bc><ed><be><a4>","f0 9f 8e a4","f0 9f 8e a4"
"458","MICROSCOPE ","🔬","F0 9F 94 AC","<ed><a0><bd><ed><b4><ac>","f0 9f 94 ac","f0 9f 94 ac"
"459","MILKY WAY ","🌌","F0 9F 8C 8C","<ed><a0><bc><ed><bc><8c>","f0 9f 8c 8c","f0 9f 8c 8c"
"460","MINIBUS ","🚐","F0 9F 9A 90","<ed><a0><bd><ed><ba><90>","f0 9f 9a 90","f0 9f 9a 90"
"461","MINIDISC ","💽","F0 9F 92 BD","<ed><a0><bd><ed><b2><bd>","f0 9f 92 bd","f0 9f 92 bd"
"462","MOBILE PHONE ","📱","F0 9F 93 B1","<ed><a0><bd><ed><b3><b1>","f0 9f 93 b1","f0 9f 93 b1"
"463","MOBILE PHONE OFF ","📴","F0 9F 93 B4","<ed><a0><bd><ed><b3><b4>","f0 9f 93 b4","f0 9f 93 b4"
"464","MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT ","📲","F0 9F 93 B2","<ed><a0><bd><ed><b3><b2>","f0 9f 93 b2","f0 9f 93 b2"
"465","MONEY BAG ","💰","F0 9F 92 B0","<ed><a0><bd><ed><b2><b0>","f0 9f 92 b0","f0 9f 92 b0"
"466","MONEY WITH WINGS ","💸","F0 9F 92 B8","<ed><a0><bd><ed><b2><b8>","f0 9f 92 b8","f0 9f 92 b8"
"467","MONKEY ","🐒","F0 9F 90 92","<ed><a0><bd><ed><b0><92>","f0 9f 90 92","f0 9f 90 92"
"468","MONKEY FACE ","🐵","F0 9F 90 B5","<ed><a0><bd><ed><b0><b5>","f0 9f 90 b5","f0 9f 90 b5"
"469","MONORAIL ","🚝","F0 9F 9A 9D","<ed><a0><bd><ed><ba><9d>","f0 9f 9a 9d","f0 9f 9a 9d"
"470","MOON VIEWING CEREMONY ","🎑","F0 9F 8E 91","<ed><a0><bc><ed><be><91>","f0 9f 8e 91","f0 9f 8e 91"
"471","MOUNT FUJI ","🗻","F0 9F 97 BB","<ed><a0><bd><ed><b7><bb>","f0 9f 97 bb","f0 9f 97 bb"
"472","MOUNTAIN BICYCLIST ","🚵","F0 9F 9A B5","<ed><a0><bd><ed><ba><b5>","f0 9f 9a b5","f0 9f 9a b5"
"473","MOUNTAIN CABLEWAY ","🚠","F0 9F 9A A0","<ed><a0><bd><ed><ba><a0>","f0 9f 9a a0","f0 9f 9a a0"
"474","MOUNTAIN RAILWAY ","🚞","F0 9F 9A 9E","<ed><a0><bd><ed><ba><9e>","f0 9f 9a 9e","f0 9f 9a 9e"
"475","MOUSE ","🐁","F0 9F 90 81","<ed><a0><bd><ed><b0><81>","f0 9f 90 81","f0 9f 90 81"
"476","MOUSE FACE ","🐭","F0 9F 90 AD","<ed><a0><bd><ed><b0><ad>","f0 9f 90 ad","f0 9f 90 ad"
